File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\AndroidManifest.xml,69,57,0,0,12,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\AlertReceiver.java,41,30,23,3,8,0,3,8,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\CurrentLocation.java,678,432,337,26,167,0,79,283,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\DrawerActivity.java,36,28,22,3,8,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\DrawerUtil.java,112,83,46,6,22,0,7,43,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\HistoryActivity.java,135,99,76,1,33,0,3,6,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\MediaP.java,42,24,19,3,14,0,4,10,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\MySingleton.java,47,30,23,4,14,0,3,8,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\PhoneLogin.java,204,138,97,5,51,6,15,82,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\ReadData.java,26,15,10,1,8,0,3,8,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\Register.java,137,70,65,2,26,0,41,101,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\SharedPrefRead.java,58,38,28,4,15,0,5,15,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\SharedprefWrite.java,81,50,45,0,18,0,13,38,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\SmsSend.java,60,40,36,0,16,0,4,13,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\SplashScreen.java,96,36,32,1,16,0,44,88,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\vehicleData_GET.java,207,136,114,5,48,0,23,62,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari\vehicleData_POST.java,98,61,51,0,22,0,15,42,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\buttonshape.xml,9,8,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\email_icon.xml,10,9,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\guardian_icon.xml,10,9,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\ic_launcher_background.xml,171,170,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\ic_person_black_24dp.xml,10,9,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\ic_save_black_24dp.xml,10,9,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\ic_send_black_24dp.xml,10,9,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\ic_warning_black_24dp.xml,10,9,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\pass_icon.xml,10,9,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\phone_icon.xml,10,9,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\splashscreen.xml,13,10,0,0,3,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable\textviewshape.xml,6,3,0,0,3,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable-v24\ic_launcher_foreground.xml,35,34,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\activity_current_location.xml,89,76,0,0,13,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\activity_drawer.xml,22,17,0,0,5,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\activity_history.xml,36,27,0,0,9,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\activity_phonelogin.xml,79,71,0,0,8,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\activity_register.xml,124,110,0,0,14,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\activity_vehicle_data__get.xml,123,106,0,0,17,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\activity_vehicle_data__post.xml,20,18,0,0,2,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\header.xml,7,6,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout\single_view.xml,104,91,0,0,13,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\menu\icons.xml,23,22,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml,5,5,0,0,0,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml,5,5,0,0,0,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\values\colors.xml,7,6,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\values\strings.xml,8,7,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\values\styles.xml,31,21,0,0,10,0,0,0,0,0
