Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,45,3124,2252,1024,64,610,6,262,807,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main,45,3124,2252,1024,64,610,6,262,807,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java,16,2058,1310,1024,64,486,6,262,807,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc,16,2058,1310,1024,64,486,6,262,807,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google,16,2058,1310,1024,64,486,6,262,807,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com,16,2058,1310,1024,64,486,6,262,807,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari,16,2058,1310,1024,64,486,6,262,807,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res,28,997,885,0,0,112,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable,12,279,263,0,0,16,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\drawable-v24,1,35,34,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\layout,9,604,522,0,0,82,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\menu,1,23,22,0,0,1,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\mipmap-anydpi-v26,2,10,10,0,0,0,0,0,0,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\res\values,3,46,34,0,0,12,0,0,0,0,0
